Supplementary table 3. Canonical correlation analysis.,,,,,,,,,,,,,
,PQ-B Component,,,,,,,,,,,,
Item,Regression coefficientsa,,,Item - Component correlationa,,,,,,,,,
,PQ-B 1,PQ-B 2,PQ-B 3,PQ-B 1,PQ-B 2,PQ-B 3,,,,,,,
PQB18,-0.20,-0.30,0.09,-0.76,-0.22,0.01,,,,,,,
PQB8,-0.20,-0.35,-0.01,-0.75,-0.33,0.02,,,,,,,
PQB1,-0.17,0.20,-0.11,-0.73,0.19,0.00,,,,,,,
PQB5,-0.15,0.19,-0.05,-0.73,0.23,-0.10,,,,,,,
PQB12,-0.21,0.05,-0.28,-0.72,0.07,-0.25,,,,,,,
PQB14,-0.03,-0.06,0.06,-0.62,0.08,0.09,,,,,,,
PQB2,-0.09,-0.03,0.30,-0.57,0.04,0.43,,,,,,,
PQB11,-0.05,0.02,0.11,-0.56,0.02,0.33,,,,,,,
PQB17,-0.05,0.11,-0.33,-0.56,0.20,-0.31,,,,,,,
PQB13,-0.03,-0.06,0.21,-0.54,-0.01,0.31,,,,,,,
PQB10,-0.02,0.05,0.00,-0.53,0.09,0.09,,,,,,,
PQB21,-0.03,0.21,-0.13,-0.52,0.18,-0.04,,,,,,,
PQB19,-0.02,-0.10,0.02,-0.49,0.03,0.23,,,,,,,
PQB6,-0.02,-0.29,-0.06,-0.49,-0.26,-0.06,,,,,,,
PQB16,-0.11,0.20,0.09,-0.46,0.36,0.14,,,,,,,
PQB3,-0.01,0.00,-0.04,-0.45,0.11,0.02,,,,,,,
PQB9,0.02,-0.06,-0.32,-0.45,-0.02,-0.15,,,,,,,
PQB15,0.00,0.38,0.18,-0.44,0.49,0.30,,,,,,,
PQB20,-0.05,-0.05,0.34,-0.43,0.04,0.43,,,,,,,
PQB4,0.06,-0.06,0.09,-0.32,0.00,0.29,,,,,,,
PQB7,0.01,0.18,0.09,-0.31,0.41,0.27,,,,,,,
,BDI Component,,,,,,,,,,,,
Item,Regression coefficientsa,,,Item - Component correlationa,,,,,,,,,0.012456692
,BDI 1,BDI 2,BDI 3,BDI 1,BDI 2,BDI 3,,,,,,,
BDI8,-0.09,-0.24,-0.15,-0.52,-0.16,-0.05,,,,,,,
BDI5,-0.03,-0.19,0.00,-0.50,-0.14,0.01,,,,,,,
BDI6,-0.19,0.38,0.30,-0.50,0.12,0.13,,,,,,,
BDI1,-0.05,0.22,-0.19,-0.49,0.02,-0.07,,,,,,,
BDI13,-0.11,-0.21,-0.16,-0.49,-0.14,-0.07,,,,,,,
BDI16,-0.19,0.25,0.11,-0.49,0.09,0.04,,,,,,,
BDI7,-0.02,-0.30,0.19,-0.48,-0.17,0.06,,,,,,,
BDI3,-0.02,-0.09,0.21,-0.48,-0.10,0.07,,,,,,,
BDI20,-0.23,0.25,-0.17,-0.47,0.12,-0.07,,,,,,,
BDI17,-0.04,0.15,-0.16,-0.47,0.01,-0.08,,,,,,,
BDI11,-0.09,-0.26,-0.04,-0.46,-0.15,-0.04,,,,,,,
BDI9,-0.08,0.00,0.09,-0.46,-0.04,0.03,,,,,,,
BDI4,0.00,0.16,-0.26,-0.45,0.01,-0.11,,,,,,,
BDI15,-0.07,0.00,-0.11,-0.44,-0.04,-0.07,,,,,,,
BDI10,-0.08,0.08,-0.03,-0.44,-0.01,-0.05,,,,,,,
BDI2,0.02,-0.10,0.19,-0.43,-0.09,0.05,,,,,,,
BDI14,-0.02,-0.14,0.15,-0.40,-0.14,0.06,,,,,,,
BDI12,-0.05,-0.06,-0.29,-0.38,-0.06,-0.13,,,,,,,
BDI18,-0.02,0.10,0.18,-0.34,0.05,0.04,,,,,,,
BDI21,-0.05,0.04,0.33,-0.27,0.01,0.13,,,,,,,
BDI19,0.08,0.05,-0.28,-0.01,0.03,-0.12,,,,,,,
"Correlation between first 3 components were 0.61, 0.25 and 0.23, respectively.
a Note sign is meaningless since components have arbitrary direction.",,,,,,,,,,,,,
