,BDI1,BDI2,BDI3,BDI4,BDI5,BDI6,BDI7,BDI8,BDI9,BDI10,BDI11,BDI12,BDI13,BDI14,BDI15,BDI16,BDI17,BDI18,BDI19,BDI20,BDI21,PQB1,PQB2,PQB3,PQB4,PQB5,PQB6,PQB7,PQB8,PQB9,PQB10,PQB11,PQB12,PQB13,PQB14,PQB15,PQB16,PQB17,PQB18,PQB19,PQB20,PQB21
BDI1,1,0.753335749,0.760216048,0.785944376,0.803168314,0.539181252,0.766913668,0.751122456,0.728980943,0.690426796,0.604000192,0.581479504,0.613686372,0.611646386,0.609778443,0.520284035,0.678676016,0.559363573,0.25749019,0.524156564,0.481137652,0.467605235,0.265041053,0.371878319,0.161601483,0.414979393,0.248228768,0.192169598,0.443560317,0.267766898,0.315697329,0.327021437,0.473844492,0.285363519,0.287958856,0.256448018,0.29028739,0.363335125,0.413954648,0.29774387,0.312321854,0.226757576
BDI2,0.753335749,1,0.711579596,0.742235632,0.774432417,0.595560467,0.731629892,0.714673834,0.617882045,0.587677936,0.620227389,0.619135239,0.652374816,0.66459891,0.59620147,0.48794707,0.67067344,0.474553104,0.189178968,0.374894298,0.527615131,0.385189945,0.336076493,0.206650302,0.122165909,0.305439073,0.19895619,0.120853393,0.438144617,0.188401429,0.191876232,0.293075018,0.33278697,0.253841732,0.254009814,0.189632321,0.246019663,0.214418647,0.438944707,0.317896699,0.259113338,0.180537233
BDI3,0.760216048,0.711579596,1,0.68674331,0.841087939,0.622478826,0.857654801,0.79320805,0.672651614,0.656061069,0.611269986,0.486946143,0.687437524,0.667215941,0.613342009,0.534589598,0.664504007,0.474192166,0.129410911,0.435797037,0.456238302,0.367582724,0.341739795,0.267646359,0.135340328,0.344352667,0.293590093,0.111327334,0.477488265,0.204524894,0.287382283,0.359467087,0.358889107,0.309142771,0.352226621,0.288914097,0.30084744,0.268258942,0.461828621,0.336765808,0.343457453,0.238221562
BDI4,0.785944376,0.742235632,0.68674331,1,0.727513179,0.549182549,0.675462261,0.705661432,0.653735806,0.665434127,0.638949797,0.657886439,0.683681444,0.585855457,0.634988472,0.554143171,0.713441532,0.526081539,0.299313707,0.401214014,0.514121903,0.397115353,0.221002667,0.292920622,0.043350346,0.413704818,0.172284126,0.093747284,0.412016856,0.201297399,0.248543943,0.267644827,0.387705832,0.223268624,0.325275001,0.148892187,0.349469303,0.294717729,0.381591263,0.202111493,0.162789693,0.226530439
BDI5,0.803168314,0.774432417,0.841087939,0.727513179,1,0.58397925,0.859513812,0.847878762,0.717865698,0.674957916,0.645900258,0.53668744,0.688321458,0.732316151,0.607019081,0.546844929,0.677295702,0.493922165,0.246791138,0.488528998,0.505365995,0.411155386,0.333898632,0.247772833,0.184665965,0.39866531,0.281036687,0.088130184,0.512455554,0.213304665,0.280287899,0.343046073,0.408476022,0.316056751,0.32428442,0.171184852,0.28179745,0.308933825,0.45176213,0.330886826,0.296411265,0.186512395
BDI6,0.539181252,0.595560467,0.622478826,0.549182549,0.58397925,1,0.598693922,0.602017262,0.569191491,0.413222746,0.474906458,0.380168886,0.514086797,0.50402529,0.457947004,0.486456153,0.514875298,0.386493809,0.01237044,0.464719346,0.388618287,0.449642896,0.436388582,0.251632067,0.179276421,0.435913588,0.214431292,0.321750478,0.417349929,0.233478615,0.31112486,0.39085853,0.46010502,0.405572684,0.326015463,0.406754168,0.468327744,0.264015367,0.455302382,0.376642667,0.365733591,0.327079368
BDI7,0.766913668,0.731629892,0.857654801,0.675462261,0.859513812,0.598693922,1,0.827297466,0.72343655,0.612705194,0.618208283,0.56307784,0.658436714,0.811356182,0.593339238,0.545731309,0.682780869,0.528046132,0.243395338,0.458281716,0.45818439,0.379295152,0.3713756,0.265408803,0.181570301,0.359220205,0.30275479,0.066872512,0.480007357,0.24359546,0.282016524,0.331081113,0.386850887,0.308155864,0.345643914,0.165300459,0.269974425,0.22100291,0.463679235,0.299552419,0.3418484,0.214440537
BDI8,0.751122456,0.714673834,0.79320805,0.705661432,0.847878762,0.602017262,0.827297466,1,0.712995817,0.641581189,0.667344346,0.576330256,0.707259976,0.741758472,0.577033993,0.49194879,0.66007283,0.494971566,0.174673294,0.496737403,0.345258183,0.437097856,0.287942676,0.242851273,0.129797886,0.424839814,0.26834572,0.107290213,0.493772705,0.184323447,0.293732759,0.25322714,0.459911711,0.331463831,0.324553779,0.100033663,0.275633379,0.343209751,0.528634607,0.320269544,0.302262785,0.211208089
BDI9,0.728980943,0.617882045,0.672651614,0.653735806,0.717865698,0.569191491,0.72343655,0.712995817,1,0.59554887,0.537230937,0.510536183,0.538293641,0.563972796,0.506435149,0.530866495,0.598055913,0.510411776,0.240837332,0.417527447,0.523534745,0.390939767,0.322244051,0.218261462,0.208193327,0.391499682,0.266460741,0.095680405,0.441819407,0.227081834,0.308037899,0.334666899,0.412114103,0.341245918,0.286734712,0.314279252,0.249814613,0.295452048,0.446109775,0.321264999,0.31584302,0.256130834
BDI10,0.690426796,0.587677936,0.656061069,0.665434127,0.674957916,0.413222746,0.612705194,0.641581189,0.59554887,1,0.632083061,0.504657624,0.538377469,0.513516832,0.569980114,0.456531702,0.65064978,0.548132689,0.311549116,0.42586823,0.36777726,0.406195268,0.279707026,0.276800451,0.140410301,0.368477182,0.221631773,0.089159686,0.361151315,0.240877918,0.325171532,0.317604546,0.411026523,0.301310193,0.29295223,0.190111639,0.20589357,0.352514591,0.39862967,0.333711093,0.299269192,0.240892852
BDI11,0.604000192,0.620227389,0.611269986,0.638949797,0.645900258,0.474906458,0.618208283,0.667344346,0.537230937,0.632083061,1,0.542338742,0.634210406,0.610153198,0.583686557,0.514577575,0.604032689,0.42651844,0.192576881,0.383724024,0.368513345,0.355851209,0.394525418,0.347156625,0.15386157,0.328796485,0.356068183,0.099411869,0.453787536,0.32876851,0.365280082,0.326075908,0.365724865,0.322558079,0.268082825,0.123937239,0.296727556,0.338713265,0.402947273,0.343004319,0.287881095,0.265389619
BDI12,0.581479504,0.619135239,0.486946143,0.657886439,0.53668744,0.380168886,0.56307784,0.576330256,0.510536183,0.504657624,0.542338742,1,0.582802788,0.467506336,0.512288452,0.426875923,0.600582154,0.429457079,0.166764111,0.321876737,0.476761985,0.40628106,0.238862602,0.213621649,0.111852614,0.281909345,0.254939932,0.172269475,0.364305886,0.260426512,0.150278998,0.216578276,0.363760851,0.171877036,0.234088724,0.087441962,0.140492566,0.295934744,0.368612698,0.264245706,0.187892788,0.256920591
BDI13,0.613686372,0.652374816,0.687437524,0.683681444,0.688321458,0.514086797,0.658436714,0.707259976,0.538293641,0.538377469,0.634210406,0.582802788,1,0.589337365,0.623780432,0.465137647,0.635272885,0.42446747,0.054575944,0.39874158,0.419647186,0.40555706,0.300513916,0.251862708,0.15952944,0.354339422,0.318702489,0.076770329,0.487826173,0.322193767,0.302402121,0.337552525,0.402816146,0.271032761,0.319744973,0.196254044,0.234633254,0.318959459,0.453152727,0.263510965,0.278281718,0.229759292
BDI14,0.611646386,0.66459891,0.667215941,0.585855457,0.732316151,0.50402529,0.811356182,0.741758472,0.563972796,0.513516832,0.610153198,0.467506336,0.589337365,1,0.465602639,0.506117867,0.556121035,0.457936127,0.24380268,0.397851893,0.336113745,0.309840719,0.247139944,0.357781027,0.177874889,0.306242868,0.14759656,0.126415961,0.490237718,0.212147019,0.139224765,0.241412723,0.313943755,0.322111666,0.273340435,0.096594504,0.359525549,0.15043586,0.451384808,0.234858261,0.297871413,0.226360633
BDI15,0.609778443,0.59620147,0.613342009,0.634988472,0.607019081,0.457947004,0.593339238,0.577033993,0.506435149,0.569980114,0.583686557,0.512288452,0.623780432,0.465602639,1,0.493027983,0.714922716,0.436475713,0.24058976,0.393166959,0.438775143,0.330636471,0.232874487,0.291976264,0.128481204,0.332572761,0.366350296,0.134495197,0.423880766,0.171080576,0.339553343,0.207498543,0.379391049,0.211064041,0.299229613,0.291349297,0.39898093,0.324129513,0.391937332,0.295018336,0.204605147,0.292649651
BDI16,0.520284035,0.48794707,0.534589598,0.554143171,0.546844929,0.486456153,0.545731309,0.49194879,0.530866495,0.456531702,0.514577575,0.426875923,0.465137647,0.506117867,0.493027983,1,0.54778507,0.425681508,0.178877255,0.399930864,0.360630936,0.477448507,0.365979261,0.270769078,0.037799165,0.462248762,0.178667094,0.176827573,0.452344202,0.232424303,0.317322368,0.360266583,0.417859399,0.327587324,0.385092138,0.312122692,0.412941705,0.312697942,0.401159252,0.290854145,0.343956516,0.28319963
BDI17,0.678676016,0.67067344,0.664504007,0.713441532,0.677295702,0.514875298,0.682780869,0.66007283,0.598055913,0.65064978,0.604032689,0.600582154,0.635272885,0.556121035,0.714922716,0.54778507,1,0.496894957,0.196746652,0.444568936,0.397297756,0.391213484,0.224694608,0.230772862,0.108032388,0.357423951,0.220907029,0.121604582,0.400460781,0.198151994,0.333706626,0.299388993,0.453889955,0.257227855,0.310917012,0.220039495,0.373040104,0.293868763,0.448082301,0.257327319,0.145164991,0.253549413
BDI18,0.559363573,0.474553104,0.474192166,0.526081539,0.493922165,0.386493809,0.528046132,0.494971566,0.510411776,0.548132689,0.42651844,0.429457079,0.42446747,0.457936127,0.436475713,0.425681508,0.496894957,1,0.563189846,0.504671386,0.470932043,0.384046322,0.340385953,0.298430036,0.176298484,0.281625471,0.146400674,0.189682094,0.286642944,0.241165695,0.20385123,0.237696777,0.274622349,0.16315939,0.205177275,0.179851697,0.185484364,0.231510367,0.352715308,0.279609343,0.286577766,0.274216559
BDI19,0.25749019,0.189178968,0.129410911,0.299313707,0.246791138,0.01237044,0.243395338,0.174673294,0.240837332,0.311549116,0.192576881,0.166764111,0.054575944,0.24380268,0.24058976,0.178877255,0.196746652,0.563189846,1,0.170015557,0.306869143,0.085089191,0.050922696,0.016435756,-0.145158664,0.044437545,-0.078801295,-0.219254919,-0.001425214,0.083839036,0.089264454,-0.052895614,0.143104899,0.016689226,0.04004729,-0.038176496,0.014309444,0.118695596,0.040777716,0.036567465,-0.089178039,-0.00895663
BDI20,0.524156564,0.374894298,0.435797037,0.401214014,0.488528998,0.464719346,0.458281716,0.496737403,0.417527447,0.42586823,0.383724024,0.321876737,0.39874158,0.397851893,0.393166959,0.399930864,0.444568936,0.504671386,0.170015557,1,0.273722612,0.472512381,0.361709334,0.321832235,0.261210411,0.500285518,0.293227204,0.280841908,0.444763748,0.332774558,0.300663133,0.346869895,0.503903745,0.306095861,0.317516133,0.332159235,0.340503004,0.418806184,0.447167704,0.27176017,0.286758963,0.349485021
BDI21,0.481137652,0.527615131,0.456238302,0.514121903,0.505365995,0.388618287,0.45818439,0.345258183,0.523534745,0.36777726,0.368513345,0.476761985,0.419647186,0.336113745,0.438775143,0.360630936,0.397297756,0.470932043,0.306869143,0.273722612,1,0.30781958,0.284805211,0.203434887,0.194933165,0.256085764,0.245878137,0.231744441,0.26182099,0.014541509,0.252470867,0.265543555,0.292196594,0.229909819,0.221387159,0.226350668,0.232967314,0.219985736,0.300493886,0.159615335,0.245811531,0.094687955
PQB1,0.467605235,0.385189945,0.367582724,0.397115353,0.411155386,0.449642896,0.379295152,0.437097856,0.390939767,0.406195268,0.355851209,0.40628106,0.40555706,0.309840719,0.330636471,0.477448507,0.391213484,0.384046322,0.085089191,0.472512381,0.30781958,1,0.531952664,0.505013612,0.393716483,0.560470732,0.374425699,0.473202211,0.536033515,0.471101368,0.413812841,0.530223241,0.492511385,0.542578729,0.570153037,0.405150525,0.496389673,0.550589345,0.565865741,0.473966147,0.455574218,0.460070783
PQB2,0.265041053,0.336076493,0.341739795,0.221002667,0.333898632,0.436388582,0.3713756,0.287942676,0.322244051,0.279707026,0.394525418,0.238862602,0.300513916,0.247139944,0.232874487,0.365979261,0.224694608,0.340385953,0.050922696,0.361709334,0.284805211,0.531952664,1,0.444190771,0.584068067,0.441294143,0.511315666,0.471975325,0.462036692,0.604922195,0.530645292,0.707979555,0.370660033,0.43857231,0.529464022,0.51444476,0.379807868,0.399291142,0.355658825,0.623157614,0.638904139,0.499174296
PQB3,0.371878319,0.206650302,0.267646359,0.292920622,0.247772833,0.251632067,0.265408803,0.242851273,0.218261462,0.276800451,0.347156625,0.213621649,0.251862708,0.357781027,0.291976264,0.270769078,0.230772862,0.298430036,0.016435756,0.321832235,0.203434887,0.505013612,0.444190771,1,0.459256494,0.434169502,0.482908188,0.507388745,0.447183022,0.607857967,0.552999646,0.368537559,0.37919538,0.35191658,0.414960532,0.506743837,0.494443326,0.462387804,0.398196434,0.617001436,0.59303118,0.521402632
PQB4,0.161601483,0.122165909,0.135340328,0.043350346,0.184665965,0.179276421,0.181570301,0.129797886,0.208193327,0.140410301,0.15386157,0.111852614,0.15952944,0.177874889,0.128481204,0.037799165,0.108032388,0.176298484,-0.145158664,0.261210411,0.194933165,0.393716483,0.584068067,0.459256494,1,0.267730436,0.447155756,0.569134611,0.45349456,0.514979214,0.467765483,0.69944053,0.288159244,0.34073271,0.296290809,0.490707943,0.282225593,0.406456175,0.343417029,0.49362957,0.589456711,0.439942103
PQB5,0.414979393,0.305439073,0.344352667,0.413704818,0.39866531,0.435913588,0.359220205,0.424839814,0.391499682,0.368477182,0.328796485,0.281909345,0.354339422,0.306242868,0.332572761,0.462248762,0.357423951,0.281625471,0.044437545,0.500285518,0.256085764,0.560470732,0.441294143,0.434169502,0.267730436,1,0.400995003,0.420011526,0.501557635,0.422368045,0.501092073,0.461986926,0.619955111,0.452170346,0.532340362,0.477880484,0.450800692,0.594774736,0.505269843,0.440670944,0.360669959,0.329500785
PQB6,0.248228768,0.19895619,0.293590093,0.172284126,0.281036687,0.214431292,0.30275479,0.26834572,0.266460741,0.221631773,0.356068183,0.254939932,0.318702489,0.14759656,0.366350296,0.178667094,0.220907029,0.146400674,-0.078801295,0.293227204,0.245878137,0.374425699,0.511315666,0.482908188,0.447155756,0.400995003,1,0.314705413,0.505399484,0.394735327,0.499052299,0.462349216,0.419358522,0.330486623,0.439382997,0.374494498,0.211906785,0.438931124,0.371824919,0.35980405,0.362582812,0.566713992
PQB7,0.192169598,0.120853393,0.111327334,0.093747284,0.088130184,0.321750478,0.066872512,0.107290213,0.095680405,0.089159686,0.099411869,0.172269475,0.076770329,0.126415961,0.134495197,0.176827573,0.121604582,0.189682094,-0.219254919,0.280841908,0.231744441,0.473202211,0.471975325,0.507388745,0.569134611,0.420011526,0.314705413,1,0.370488737,0.29960388,0.241315687,0.372458938,0.389473844,0.358298093,0.401602026,0.63879416,0.3449068,0.278345281,0.306645553,0.427597894,0.367140014,0.441032506
PQB8,0.443560317,0.438144617,0.477488265,0.412016856,0.512455554,0.417349929,0.480007357,0.493772705,0.441819407,0.361151315,0.453787536,0.364305886,0.487826173,0.490237718,0.423880766,0.452344202,0.400460781,0.286642944,-0.001425214,0.444763748,0.26182099,0.536033515,0.462036692,0.447183022,0.45349456,0.501557635,0.505399484,0.370488737,1,0.478802019,0.467416956,0.535969068,0.471836942,0.445822814,0.480035586,0.421338883,0.401164833,0.409840899,0.640580563,0.458651002,0.404102223,0.456982577
PQB9,0.267766898,0.188401429,0.204524894,0.201297399,0.213304665,0.233478615,0.24359546,0.184323447,0.227081834,0.240877918,0.32876851,0.260426512,0.322193767,0.212147019,0.171080576,0.232424303,0.198151994,0.241165695,0.083839036,0.332774558,0.014541509,0.471101368,0.604922195,0.607857967,0.514979214,0.422368045,0.394735327,0.29960388,0.478802019,1,0.442365955,0.511152711,0.356413531,0.383132516,0.495830461,0.524951726,0.363962781,0.545815936,0.360466698,0.674151797,0.568514882,0.401440079
PQB10,0.315697329,0.191876232,0.287382283,0.248543943,0.280287899,0.31112486,0.282016524,0.293732759,0.308037899,0.325171532,0.365280082,0.150278998,0.302402121,0.139224765,0.339553343,0.317322368,0.333706626,0.20385123,0.089264454,0.300663133,0.252470867,0.413812841,0.530645292,0.552999646,0.467765483,0.501092073,0.499052299,0.241315687,0.467416956,0.442365955,1,0.468513181,0.472108293,0.358235875,0.539734706,0.471873949,0.514183858,0.563349099,0.45829566,0.511367081,0.532858041,0.401880674
PQB11,0.327021437,0.293075018,0.359467087,0.267644827,0.343046073,0.39085853,0.331081113,0.25322714,0.334666899,0.317604546,0.326075908,0.216578276,0.337552525,0.241412723,0.207498543,0.360266583,0.299388993,0.237696777,-0.052895614,0.346869895,0.265543555,0.530223241,0.707979555,0.368537559,0.69944053,0.461986926,0.462349216,0.372458938,0.535969068,0.511152711,0.468513181,1,0.444423757,0.572809579,0.483495521,0.552138026,0.415732993,0.441856197,0.401584423,0.563498001,0.520386404,0.415192459
PQB12,0.473844492,0.33278697,0.358889107,0.387705832,0.408476022,0.46010502,0.386850887,0.459911711,0.412114103,0.411026523,0.365724865,0.363760851,0.402816146,0.313943755,0.379391049,0.417859399,0.453889955,0.274622349,0.143104899,0.503903745,0.292196594,0.492511385,0.370660033,0.37919538,0.288159244,0.619955111,0.419358522,0.389473844,0.471836942,0.356413531,0.472108293,0.444423757,1,0.434807891,0.466234313,0.452219832,0.314783043,0.483888263,0.569794119,0.327231672,0.361862548,0.389105689
PQB13,0.285363519,0.253841732,0.309142771,0.223268624,0.316056751,0.405572684,0.308155864,0.331463831,0.341245918,0.301310193,0.322558079,0.171877036,0.271032761,0.322111666,0.211064041,0.327587324,0.257227855,0.16315939,0.016689226,0.306095861,0.229909819,0.542578729,0.43857231,0.35191658,0.34073271,0.452170346,0.330486623,0.358298093,0.445822814,0.383132516,0.358235875,0.572809579,0.434807891,1,0.589433665,0.403802031,0.39858567,0.383046489,0.436343842,0.532339596,0.436739855,0.330470904
PQB14,0.287958856,0.254009814,0.352226621,0.325275001,0.32428442,0.326015463,0.345643914,0.324553779,0.286734712,0.29295223,0.268082825,0.234088724,0.319744973,0.273340435,0.299229613,0.385092138,0.310917012,0.205177275,0.04004729,0.317516133,0.221387159,0.570153037,0.529464022,0.414960532,0.296290809,0.532340362,0.439382997,0.401602026,0.480035586,0.495830461,0.539734706,0.483495521,0.466234313,0.589433665,1,0.502772195,0.335418638,0.531013364,0.439701389,0.506395999,0.500306186,0.483193702
PQB15,0.256448018,0.189632321,0.288914097,0.148892187,0.171184852,0.406754168,0.165300459,0.100033663,0.314279252,0.190111639,0.123937239,0.087441962,0.196254044,0.096594504,0.291349297,0.312122692,0.220039495,0.179851697,-0.038176496,0.332159235,0.226350668,0.405150525,0.51444476,0.506743837,0.490707943,0.477880484,0.374494498,0.63879416,0.421338883,0.524951726,0.471873949,0.552138026,0.452219832,0.403802031,0.502772195,1,0.422392412,0.418404702,0.455004119,0.581104479,0.495986282,0.493035722
PQB16,0.29028739,0.246019663,0.30084744,0.349469303,0.28179745,0.468327744,0.269974425,0.275633379,0.249814613,0.20589357,0.296727556,0.140492566,0.234633254,0.359525549,0.39898093,0.412941705,0.373040104,0.185484364,0.014309444,0.340503004,0.232967314,0.496389673,0.379807868,0.494443326,0.282225593,0.450800692,0.211906785,0.3449068,0.401164833,0.363962781,0.514183858,0.415732993,0.314783043,0.39858567,0.335418638,0.422392412,1,0.325748908,0.396988834,0.454637399,0.283308101,0.368693217
PQB17,0.363335125,0.214418647,0.268258942,0.294717729,0.308933825,0.264015367,0.22100291,0.343209751,0.295452048,0.352514591,0.338713265,0.295934744,0.318959459,0.15043586,0.324129513,0.312697942,0.293868763,0.231510367,0.118695596,0.418806184,0.219985736,0.550589345,0.399291142,0.462387804,0.406456175,0.594774736,0.438931124,0.278345281,0.409840899,0.545815936,0.563349099,0.441856197,0.483888263,0.383046489,0.531013364,0.418404702,0.325748908,1,0.450820313,0.417541199,0.515237239,0.44957065
