"","BDI1","BDI2","BDI3","BDI4","BDI5","BDI6","BDI7","BDI8","BDI9","BDI10","BDI11","BDI12","BDI13","BDI14","BDI15","BDI16","BDI17","BDI18","BDI19","BDI20","BDI21","PQB1","PQB2","PQB3","PQB4","PQB5","PQB6","PQB7","PQB8","PQB9","PQB10","PQB11","PQB12","PQB13","PQB14","PQB15","PQB16","PQB17","PQB18","PQB19","PQB20","PQB21"
"BDI1",1,0.753335748502443,0.760216047752054,0.785944376465856,0.803168313569819,0.539181252308836,0.766913667982859,0.751122455807916,0.72898094298703,0.690426795543022,0.604000192282263,0.581479504271924,0.613686371653665,0.61164638579073,0.609778443103146,0.520284034773861,0.67867601598622,0.559363572975824,0.257490190155852,0.524156564391162,0.481137651934121,0.467605234643987,0.265041053093274,0.371878319249552,0.161601483222951,0.414979392916782,0.248228768177355,0.192169598314569,0.443560317339239,0.267766898430988,0.315697329182252,0.327021436963224,0.473844491895516,0.285363519351053,0.287958856201319,0.256448018033034,0.290287389921459,0.363335125126075,0.413954647546979,0.297743870003906,0.312321854158946,0.226757575854378
"BDI2",0.753335748502443,1,0.711579595527633,0.742235631775936,0.774432417429264,0.595560467103414,0.731629892142487,0.714673833541088,0.61788204499111,0.587677935747619,0.620227389190493,0.619135239370945,0.652374815998336,0.664598909914857,0.59620147022629,0.487947070024583,0.670673440099031,0.474553103694263,0.189178968126639,0.374894298344568,0.527615130976819,0.385189944998363,0.336076492996088,0.20665030246134,0.122165908910669,0.305439073154765,0.198956190040272,0.120853392836431,0.438144617039122,0.188401429128439,0.191876231578092,0.293075017987658,0.332786970353516,0.253841732232281,0.254009813601947,0.189632320980709,0.246019663388595,0.214418646602368,0.438944706650376,0.317896699349546,0.259113338112424,0.180537233214808
"BDI3",0.760216047752054,0.711579595527633,1,0.686743309549295,0.841087939189306,0.622478826484023,0.857654801468927,0.79320804964734,0.672651614231676,0.656061068689477,0.611269985604665,0.486946143350783,0.687437524070546,0.667215940994762,0.613342009372858,0.534589598438399,0.664504007457763,0.474192166124676,0.129410911212436,0.43579703727569,0.456238302023998,0.367582723809877,0.341739795283408,0.267646358704175,0.135340328371981,0.344352667276599,0.293590093440489,0.111327334497209,0.477488265483869,0.204524894336492,0.287382283057325,0.359467087268359,0.358889107203824,0.309142770527738,0.352226621401343,0.288914096732014,0.300847440363904,0.268258941931266,0.461828620928319,0.336765807721354,0.343457453287579,0.238221561867017
"BDI4",0.785944376465856,0.742235631775936,0.686743309549295,1,0.727513179173693,0.549182548612679,0.675462261080499,0.705661432070264,0.653735805641632,0.665434127463171,0.638949797428812,0.657886438712323,0.683681444382488,0.585855457038705,0.634988472436378,0.554143170876449,0.713441531706163,0.526081539251198,0.299313706725221,0.40121401424663,0.51412190314631,0.397115353227735,0.221002667016378,0.292920621529907,0.0433503464902296,0.413704818029414,0.172284125631176,0.0937472842346743,0.412016856292136,0.201297398800777,0.248543943236471,0.26764482700597,0.387705832350465,0.223268623748524,0.325275001135365,0.148892186955312,0.349469303188244,0.294717729200748,0.381591262556934,0.202111493104907,0.162789692807245,0.226530438899274
"BDI5",0.803168313569819,0.774432417429264,0.841087939189306,0.727513179173693,1,0.583979249967456,0.859513812307076,0.847878762168164,0.717865698124833,0.674957915603903,0.645900258004346,0.536687439533931,0.68832145838134,0.73231615127006,0.607019080546492,0.546844928661235,0.677295701672794,0.493922164643845,0.24679113818831,0.488528998298202,0.505365995161016,0.411155386052224,0.333898631848662,0.247772833228202,0.184665964875973,0.398665310161578,0.281036686588737,0.0881301840548139,0.512455553912993,0.213304664584602,0.280287899069464,0.343046073440355,0.408476021609468,0.316056751401251,0.324284420206599,0.171184852073916,0.281797449880776,0.308933824786686,0.451762129878568,0.330886826236951,0.296411264887267,0.186512395283262
"BDI6",0.539181252308836,0.595560467103414,0.622478826484023,0.549182548612679,0.583979249967456,1,0.598693921597822,0.60201726192772,0.569191491427655,0.413222745630246,0.474906458376491,0.380168885822888,0.514086797302308,0.504025290449024,0.457947003970163,0.486456152548662,0.514875297895781,0.386493808648206,0.0123704401188031,0.464719345855728,0.388618287373245,0.449642895751576,0.436388582110036,0.251632066732496,0.179276421038745,0.43591358840573,0.214431292164937,0.321750477921847,0.417349928596279,0.233478615275125,0.311124860466711,0.390858530036357,0.460105019650615,0.405572683749053,0.326015463336261,0.40675416847032,0.468327743835837,0.264015366786167,0.455302382300729,0.376642667043151,0.365733590761482,0.327079368124858
"BDI7",0.766913667982859,0.731629892142487,0.857654801468927,0.675462261080499,0.859513812307076,0.598693921597822,1,0.827297465690885,0.723436550414566,0.612705194389203,0.618208282553252,0.563077840168369,0.658436714019342,0.811356182341205,0.59333923785049,0.545731309236921,0.682780869282388,0.52804613173829,0.243395338062227,0.458281715592003,0.45818439006306,0.379295151828446,0.371375599887867,0.265408803364357,0.181570300859578,0.359220205191493,0.30275478983318,0.0668725124624186,0.480007357090363,0.243595459717496,0.282016523975522,0.331081113209885,0.386850886749688,0.308155864338357,0.345643914495458,0.1653004589335,0.26997442455277,0.221002909892627,0.463679235066221,0.299552419373194,0.34184840034497,0.214440537008327
"BDI8",0.751122455807916,0.714673833541088,0.79320804964734,0.705661432070264,0.847878762168164,0.60201726192772,0.827297465690885,1,0.712995816978265,0.641581189033614,0.667344346132065,0.576330256372941,0.707259975522367,0.741758472375775,0.577033993088259,0.49194878968715,0.660072830438113,0.494971566494979,0.1746732939652,0.496737402581556,0.345258182787003,0.437097855734108,0.28794267623782,0.242851272930689,0.129797886032222,0.424839813674738,0.268345720239944,0.107290213116155,0.493772705430345,0.184323446815174,0.293732758767669,0.253227139928214,0.45991171135911,0.331463830981342,0.324553779423437,0.100033663224572,0.275633379099532,0.343209751064031,0.528634606741866,0.32026954371219,0.302262784758013,0.211208088592166
"BDI9",0.72898094298703,0.61788204499111,0.672651614231676,0.653735805641632,0.717865698124833,0.569191491427655,0.723436550414566,0.712995816978265,1,0.595548869780365,0.537230936886687,0.51053618277698,0.538293641282477,0.563972795904668,0.50643514949235,0.530866495015448,0.598055912735952,0.510411775834063,0.240837332184325,0.417527447134134,0.52353474472478,0.390939766651083,0.322244050650354,0.218261461934165,0.20819332663238,0.391499681672035,0.26646074145458,0.0956804054980806,0.441819407373962,0.227081833577294,0.308037899152509,0.334666899441024,0.412114102745973,0.341245917833341,0.286734711699471,0.314279252178458,0.249814612852677,0.295452048059152,0.446109774961866,0.321264999238294,0.315843020139165,0.256130834167933
"BDI10",0.690426795543022,0.587677935747619,0.656061068689477,0.665434127463171,0.674957915603903,0.413222745630246,0.612705194389203,0.641581189033614,0.595548869780365,1,0.632083060566204,0.504657623872565,0.538377469367418,0.513516832340914,0.569980113747246,0.456531702227436,0.65064978005517,0.548132689367002,0.31154911647917,0.425868229604367,0.367777260066894,0.406195268099044,0.279707025613845,0.276800450535539,0.14041030101186,0.368477182369856,0.221631772646377,0.0891596862757129,0.36115131527913,0.24087791810401,0.325171531675468,0.317604546274353,0.411026522876018,0.301310192538549,0.292952229969566,0.190111638685582,0.205893569599355,0.352514590925126,0.398629669587793,0.333711093122054,0.299269192225013,0.240892852313676
