"","BDI1","BDI2","BDI3","BDI4","BDI5","BDI6","BDI7","BDI8","BDI9","BDI10","BDI11","BDI12","BDI13","BDI14","BDI15","BDI16","BDI17","BDI18","BDI19","BDI20","BDI21","PQB1","PQB2","PQB3","PQB4","PQB5","PQB6","PQB8","PQB9","PQB10","PQB11","PQB13","PQB14","PQB15","PQB16","PQB17","PQB18","PQB19","PQB20","PQB21"
"BDI1",1,0.675017934828319,0.677164761334061,0.704649158790011,0.723413352928725,0.429855340666577,0.679969205528686,0.659649803147202,0.627801789447116,0.606776514915285,0.520355691010797,0.492048343794434,0.539757663461764,0.49636024073149,0.536768486474147,0.429974638789159,0.607097764741177,0.466216627641159,0.155532356193475,0.402952811308634,0.335779377392087,0.388526410573304,0.207523364237988,0.246860411906991,0.119672661531402,0.358029204027432,0.197532560931932,0.375453181297231,0.184078707151084,0.225732514830153,0.245702215822697,0.213512625966246,0.238370462750528,0.187123095309297,0.20427237376501,0.293902342498233,0.362417807062146,0.212540015279707,0.203277787886426,0.188827984606959
"BDI2",0.675017934828319,1,0.632363368697429,0.653958262929855,0.692115299159298,0.490345441611957,0.650360885414444,0.623023894674442,0.525357263899197,0.500822550170445,0.537899854676416,0.519311964234293,0.557772178091041,0.552370088413364,0.51914275035776,0.405899854922111,0.59295238374541,0.381046845367491,0.124310072834826,0.275741258574865,0.378540361637756,0.320285924359886,0.254450526966754,0.144918617999307,0.0830254023438913,0.266336534105196,0.14676481986021,0.362738576017595,0.140676419245726,0.142904735522368,0.22202415759961,0.20239917776538,0.208814261159758,0.133152152130353,0.172881853741999,0.166075731224779,0.390042054230774,0.221161078264405,0.160399546695496,0.155595837249869
"BDI3",0.677164761334061,0.632363368697429,1,0.596290527059929,0.758569059588447,0.510315289474569,0.771192908715128,0.689094137953645,0.566426450877885,0.551070932827959,0.522359313629953,0.390813604518465,0.597155098549316,0.55434791513541,0.529204140760474,0.433470038196202,0.579703620475039,0.379004005931598,0.0828584737678352,0.332628742017116,0.304263554301656,0.29950543020591,0.264180903993098,0.176259615855017,0.0868332118269495,0.301842467567123,0.216957258489919,0.415009630054105,0.158635646431147,0.220902688710093,0.272667288619719,0.240341924098686,0.292127054043288,0.190088718174696,0.205146684603739,0.209830824370254,0.411948700547607,0.245511600547077,0.217254744591477,0.193013783153982
"BDI4",0.704649158790011,0.653958262929855,0.596290527059929,1,0.637305887808129,0.43893718946186,0.582747301551631,0.60972727028527,0.554466272203517,0.572452410063487,0.552927057394059,0.565058545353689,0.606125215167052,0.463618987500957,0.554043561056952,0.465010703381163,0.631051098621748,0.430094543127145,0.196386379250334,0.3012490985817,0.364522339965737,0.336795027704254,0.166324971565378,0.220326609100164,0.050536916955758,0.35880770497656,0.146233420126707,0.34275648541328,0.144279844210137,0.181132976181104,0.184130398502166,0.160702444957055,0.272892785661744,0.0932264544697729,0.249659905094502,0.228360328348413,0.336911041438025,0.140267052160058,0.108171966282358,0.183464266185868
"BDI5",0.723413352928725,0.692115299159298,0.758569059588447,0.637305887808129,1,0.487442409235588,0.783303108938457,0.749313123954593,0.612830897536096,0.579949784576126,0.555192180830118,0.449673838372497,0.605790851831291,0.628082173401334,0.523345828386072,0.443623900126538,0.599991094481016,0.396481473639685,0.145205883704307,0.369782405474345,0.363108810880049,0.348999646775152,0.259032322401648,0.170779842134992,0.137658246767756,0.33995776752672,0.220341119581704,0.43792235973961,0.151707361848518,0.197515725364988,0.267187900244704,0.254196857390292,0.266651363173971,0.115437819194816,0.185268537980332,0.245546420891648,0.41088250403094,0.227735824328473,0.183053306593508,0.161425788140277
"BDI6",0.429855340666577,0.490345441611957,0.510315289474569,0.43893718946186,0.487442409235588,1,0.492178087232952,0.473816181190004,0.441436575355473,0.306473125056444,0.372954867024988,0.297140976512932,0.405076707794845,0.409710972299026,0.350965817283385,0.372020810678998,0.419286022932627,0.309206494278354,0.000437765860970397,0.338480280615112,0.2619103629174,0.378046007970019,0.332862940504702,0.179850193968124,0.11706294902509,0.35965518857508,0.14407498309853,0.322649399170969,0.165583776762452,0.23138621522758,0.269051506584028,0.296585151641197,0.276743511971136,0.257454471302825,0.294606144389595,0.198014009716586,0.369211606651041,0.256147984303422,0.234580627482309,0.241067621473367
"BDI7",0.679969205528686,0.650360885414444,0.771192908715128,0.582747301551631,0.783303108938457,0.492178087232952,1,0.738252532274497,0.623353071271787,0.51664332844703,0.533911014987801,0.467304072802279,0.572699665996533,0.708515396793797,0.513372422890805,0.449122462779194,0.598636578270958,0.412553014891912,0.137345744248837,0.334014669047081,0.318002536080113,0.319936982258649,0.293074657194598,0.165160912465201,0.125119752961874,0.308337957646634,0.227824327268855,0.423247222594305,0.174769958257109,0.21288989333432,0.253309168015212,0.232041608036034,0.291492915653579,0.118564792670786,0.178459911849572,0.163962789668621,0.419471329256064,0.207529194077484,0.219012987719402,0.171501841229402
"BDI8",0.659649803147202,0.623023894674442,0.689094137953645,0.60972727028527,0.749313123954593,0.473816181190004,0.738252532274497,1,0.610188621081407,0.542953282589027,0.589996500179466,0.475213589076334,0.617912884810544,0.613117509050612,0.520932375934063,0.409083770133326,0.59796639509082,0.392793402544533,0.123522680509649,0.360264045920081,0.239590370414138,0.351932871764337,0.220438429144272,0.169047675738687,0.0880685001637152,0.376121339122467,0.217431239601199,0.42045863826115,0.14439567607153,0.211019279443143,0.196376672553975,0.256770740549863,0.277921432927007,0.0595072277705261,0.179689034751136,0.244868553220482,0.470636563831663,0.210587775771347,0.176316799175705,0.169224019482967
"BDI9",0.627801789447116,0.525357263899197,0.566426450877885,0.554466272203517,0.612830897536096,0.441436575355473,0.623353071271787,0.610188621081407,1,0.491496684724984,0.446642982464137,0.41393429710146,0.453021575718946,0.449382228529765,0.428523113088428,0.433732321559729,0.509707862849173,0.412680072504119,0.167975346680293,0.302029238879989,0.375698406204241,0.319852478981153,0.248965409396522,0.144739557471933,0.132636135805469,0.336323056169452,0.203730714339822,0.36124603075802,0.160858538823846,0.228418999861761,0.247344582439072,0.240383599544126,0.240797887723856,0.20871171047998,0.172084905046134,0.211861561120595,0.382432263616239,0.203120418597175,0.202611602855754,0.200291931581068
"BDI10",0.606776514915285,0.500822550170445,0.551070932827959,0.572452410063487,0.579949784576126,0.306473125056444,0.51664332844703,0.542953282589027,0.491496684724984,1,0.534239526475358,0.422554294460358,0.451628631918627,0.396843891597873,0.478327976270167,0.35834068091571,0.558122637411765,0.449960385533585,0.192298930052558,0.307548094458627,0.25401022105329,0.329983336435998,0.220656482572945,0.175965517471731,0.10217239071174,0.319001351657519,0.193977710080748,0.289880315078095,0.183097742186471,0.225456416514179,0.259475227789446,0.233448576594431,0.232616312704071,0.146256165623252,0.133266182206576,0.269256420200283,0.331315434939735,0.220659682284795,0.196325544230892,0.19800366377336
