"","BDI1","BDI2","BDI3","BDI4","BDI5","BDI6","BDI7","BDI8","BDI9","BDI10","BDI11","BDI12","BDI13","BDI14","BDI15","BDI16","BDI17","BDI18","BDI19","BDI20","BDI21","PQB1","PQB2","PQB3","PQB4","PQB5","PQB6","PQB8","PQB9","PQB10","PQB11","PQB13","PQB14","PQB15","PQB16","PQB17","PQB18","PQB19","PQB20","PQB21"
"BDI1",1,0.751727260246071,0.759022346251428,0.785888876696135,0.803626617024922,0.539603256894376,0.765500789672609,0.752110342390378,0.728840184848812,0.690841794561577,0.602935097357904,0.582976864187933,0.61466691839858,0.607764725427365,0.610650649714627,0.521885605099413,0.679144141017904,0.559943959856484,0.262120287936244,0.521147668932809,0.482927164708692,0.469762297877064,0.26209154084074,0.377169926112914,0.1688050914516,0.415420258685603,0.252415357966256,0.43930902831132,0.26532613108265,0.313207377333062,0.324179918142,0.282586742432188,0.289181655637016,0.254331552317237,0.288501657355241,0.360964047469755,0.409791879753323,0.295617540125843,0.310462128683977,0.223978102392609
"BDI2",0.751727260246071,1,0.711655953501178,0.734852070517513,0.773035968046977,0.594859183453596,0.731677605197173,0.71270480923209,0.617796796972357,0.586302438667271,0.620510556002024,0.61554262543158,0.645394726037754,0.664512728032573,0.595067305314169,0.485450921445834,0.669461552706288,0.473880500446754,0.186932785305559,0.375275716463109,0.525309917167874,0.383346526761108,0.336381609685885,0.199728845860003,0.119875851178021,0.305173001813208,0.196752419166485,0.438147749952918,0.188739665489443,0.192274512433206,0.293425140463831,0.254274624309927,0.253702387657432,0.189969616992909,0.246208459421547,0.214723583686031,0.439133868819952,0.318239848611725,0.259429538493047,0.180818970316707
"BDI3",0.759022346251428,0.711655953501178,1,0.681281431378773,0.840081367663063,0.622063466025478,0.857789898838995,0.791633944185317,0.672807638920866,0.654892162035844,0.611572289933127,0.484618556436069,0.6809995107568,0.666938726181501,0.612499881856127,0.532444411537946,0.663587654718381,0.47378392130022,0.128350040271157,0.435918695514213,0.454639413581174,0.366174778750171,0.341827145065419,0.261270906852996,0.133747483466016,0.344350364511971,0.291617641412657,0.477059489771106,0.204626329989429,0.287570785323233,0.359531925622993,0.309217736778693,0.352050008913761,0.28908445033709,0.300968052473634,0.268297052030086,0.461685274198445,0.336879876955687,0.343703094565695,0.23834723862135
"BDI4",0.785888876696135,0.734852070517513,0.681281431378773,1,0.726480348520475,0.547889303930047,0.668931958863829,0.70850170397149,0.651436472863164,0.665168208641539,0.634306403181922,0.661784198170351,0.689825877750139,0.574809652905496,0.636355838294889,0.558196143769254,0.713451448012431,0.525267526781801,0.30932649464958,0.393205516582899,0.516390529576436,0.402638539454851,0.214049962166111,0.314207292131746,0.0635965474081985,0.41228233968793,0.184405430254908,0.401754669118893,0.195341227855625,0.24237095077263,0.260640473813066,0.21679838565149,0.325988795440036,0.143314118362272,0.343500249841673,0.287764286579084,0.372071536397031,0.196309182018997,0.157551666570257,0.219371054697869
"BDI5",0.803626617024922,0.773035968046977,0.840081367663063,0.726480348520475,1,0.584517714240005,0.858212975873775,0.848346311985023,0.717837263569984,0.675242687820339,0.645040911993072,0.53797563256156,0.687478945339093,0.728757512298927,0.607631066762086,0.547812385016939,0.677622476091464,0.494441311262172,0.250617825981135,0.485764373868345,0.506794492174512,0.413273273934668,0.331234387532628,0.253409462071144,0.190712901456655,0.399008936741464,0.284113959189835,0.508437961606065,0.211128229343561,0.278053508936063,0.340724595015742,0.31372211695375,0.325145503774809,0.169104545039427,0.280093110024467,0.306757816214496,0.448112970121933,0.32893503998787,0.294654491115265,0.184116834286423
"BDI6",0.539603256894376,0.594859183453596,0.622063466025478,0.547889303930047,0.584517714240005,1,0.598230277026292,0.602323239531961,0.569537304595712,0.413839993944441,0.474758885967364,0.381386684854416,0.512606231681446,0.501044457429827,0.45856310103313,0.486966764089093,0.515430671388395,0.387486620721607,0.0172668161734446,0.46268528870899,0.390130808726683,0.450553144642202,0.434407576927382,0.254319519811031,0.183335681405354,0.43644871520078,0.217082799049635,0.41392930529221,0.231929752818937,0.309576886168602,0.389025670302834,0.403722545439464,0.326944009227548,0.405256922696049,0.467306358955988,0.262330506464937,0.452117499721004,0.37522366928967,0.364618209760549,0.324976257282985
"BDI7",0.765500789672609,0.731677605197173,0.857789898838995,0.668931958863829,0.858212975873775,0.598230277026292,1,0.825455838610749,0.723446091556356,0.611493367163364,0.618657719669542,0.55997220194722,0.651738493182476,0.811062382055627,0.592306926296456,0.54317724478042,0.681665355225791,0.527500557839694,0.241296169462337,0.458372397150177,0.456481904818819,0.377549693324762,0.371387343725661,0.258341105705157,0.179320623982509,0.359060037455849,0.300574080925847,0.479551298946955,0.243728337704833,0.282180541405647,0.33107638184785,0.30835697229583,0.345416537536322,0.165356890645933,0.269998592937047,0.221126830769399,0.463496716100072,0.299666739406665,0.342033180495212,0.214549539694192
"BDI8",0.752110342390378,0.71270480923209,0.791633944185317,0.70850170397149,0.848346311985023,0.602323239531961,0.825455838610749,1,0.712493376566437,0.642366073060254,0.665921536374467,0.579570808582361,0.710201108996408,0.737088684076453,0.578475449061811,0.495028523598486,0.660872892443467,0.495500079410654,0.182263742804485,0.492700037934915,0.348996996387498,0.440694386839748,0.284111445005362,0.256544146662972,0.140207302284255,0.425001730737508,0.274658900143518,0.488468814157264,0.181056930734012,0.290442804902026,0.24954217311317,0.327921060469063,0.325564081286946,0.0970663902052208,0.272719750783567,0.339781020042704,0.523730880886017,0.317138890278077,0.299561035342798,0.20744458111042
"BDI9",0.728840184848812,0.617796796972357,0.672807638920866,0.651436472863164,0.717837263569984,0.569537304595712,0.723446091556356,0.712493376566437,1,0.595452394404749,0.537437825940396,0.51001372298254,0.536417004297559,0.562746751497823,0.506494387835298,0.530539251262435,0.598098613380506,0.510710695417609,0.241822686798516,0.416630831532113,0.523513968223337,0.391251122410666,0.321300781067224,0.218760266440051,0.209965233853712,0.391848412052929,0.26699203021267,0.440263507983511,0.226327556816832,0.307319720062162,0.333876936267334,0.340505453881681,0.287245267431294,0.3136679402509,0.249312479809382,0.294663870347569,0.444742180864572,0.320711716817024,0.315359883645306,0.255198596521574
"BDI10",0.690841794561577,0.586302438667271,0.654892162035844,0.665168208641539,0.675242687820339,0.413839993944441,0.611493367163364,0.642366073060254,0.595452394404749,1,0.631035862431915,0.506519825474311,0.538837582707921,0.509365088658958,0.570925940245762,0.458037396803688,0.650992801215463,0.548625633971859,0.315360576165959,0.422648274855989,0.370159747701036,0.408327241410955,0.277021223928872,0.282500096818349,0.147158983997816,0.368793127663519,0.2258084256693,0.356939897655046,0.238592348149512,0.322603485259462,0.315195408596045,0.298764186157451,0.294032015157354,0.188034862593068,0.203766381007192,0.349954910447378,0.394390600841434,0.331554655341959,0.297376845656642,0.23816965399818
