"","BDI1","BDI2","BDI3","BDI4","BDI5","BDI6","BDI7","BDI8","BDI9","BDI10","BDI11","BDI12","BDI13","BDI14","BDI15","BDI16","BDI17","BDI18","BDI19","BDI20","BDI21","PQB1","PQB2","PQB3","PQB4","PQB5","PQB6","PQB8","PQB9","PQB10","PQB11","PQB13","PQB14","PQB15","PQB16","PQB17","PQB18","PQB19","PQB20","PQB21"
"BDI1",1,0.682022735369196,0.684045612029792,0.722316135967906,0.72795215942749,0.445684402743688,0.684202543000086,0.669439546213178,0.654554056989912,0.640054672538771,0.569215825670163,0.511420434574642,0.551899087266173,0.502614885804544,0.554286261147329,0.461203024427811,0.625027512570253,0.46113758789874,0.178026267111608,0.408635290770565,0.361776812499335,0.377949813362838,0.20318690068087,0.229558046843692,0.0868120314998667,0.34506795099683,0.20047990593619,0.376003220908322,0.165607486291974,0.223790877736646,0.238494566761893,0.213630483520197,0.221499550683654,0.135203239698678,0.133747688857399,0.274935901395486,0.369134481627705,0.179213478284521,0.188145069972035,0.146917064880696
"BDI2",0.682022735369196,1,0.629490099225372,0.653014987564735,0.680841538459595,0.480301159031603,0.651523581095437,0.625414292035402,0.534211266522619,0.517009616761393,0.563146942693702,0.535585107164011,0.564660374794548,0.555852749766147,0.536199823063493,0.418842231346125,0.599062048464875,0.387488330440216,0.128930211385349,0.286799973476457,0.376136142603066,0.311885027767904,0.253590762726094,0.136507829588087,0.0680506400402075,0.250317030719913,0.156187045604,0.374261704356285,0.114109010585383,0.150218124076178,0.217721272318673,0.202934578687277,0.214528679310195,0.110889321548993,0.11717931822796,0.153700574838462,0.39148405973659,0.205814397714725,0.157359374084047,0.137853518097971
"BDI3",0.684045612029792,0.629490099225372,1,0.609533219811208,0.749732002221634,0.502302833740439,0.780366451235671,0.698561180032454,0.606245119955861,0.58665867791415,0.55836740574189,0.406963531102002,0.602064654331029,0.550253930775912,0.559982416838964,0.460187296877265,0.599192265357159,0.373481375898938,0.0870316483107098,0.355727525019696,0.328997722976385,0.290729619520789,0.265833401121812,0.17482559477742,0.0815553366107481,0.30174576454186,0.241687632273734,0.410240211235565,0.137932310782152,0.233386622688012,0.272400776258154,0.237879252073269,0.295835227941227,0.179143117126694,0.151253017516567,0.19625208911134,0.419417233343001,0.222471206631224,0.215154939442863,0.194929012738962
"BDI4",0.722316135967906,0.653014987564735,0.609533219811208,1,0.642073126405808,0.450550538656567,0.592497410081192,0.6161106204405,0.585813998758921,0.589744407401852,0.571966051124907,0.564454428249545,0.607423775032288,0.486463423948981,0.565214647639396,0.480505722254824,0.63118762606134,0.43158104054556,0.194734090042563,0.29967955070793,0.377872842200252,0.319689925994968,0.171331411780972,0.211271035984048,0.0187566884217179,0.357105552164089,0.144585178636927,0.351458261619046,0.141427462477579,0.196934038517304,0.183374755261449,0.166964033940905,0.272220331506215,0.0780581904765834,0.173900740514061,0.223680482787482,0.342805305862289,0.12582764273349,0.0821731080403393,0.1655709750801
"BDI5",0.72795215942749,0.680841538459595,0.749732002221634,0.642073126405808,1,0.478842000586432,0.780345559343539,0.760598706939592,0.634670236718087,0.616240640436934,0.597439401110085,0.45985014143449,0.608758688823116,0.621961438136591,0.549157829707954,0.482515489337538,0.61752404106293,0.404754051918982,0.17325253516619,0.389052342021905,0.364417037158663,0.325360709445283,0.247089201778385,0.166501023272986,0.108545238469757,0.340085671136419,0.232471155462032,0.441584672039145,0.142606654246798,0.213197892344637,0.249206980367756,0.24958410554548,0.266962733733972,0.0876185164321369,0.130482217320809,0.228886739214523,0.400219412629563,0.216349890615771,0.182047807754614,0.143618942601842
"BDI6",0.445684402743688,0.480301159031603,0.502302833740439,0.450550538656567,0.478842000586432,1,0.483733662549902,0.467472175735898,0.467514068780949,0.353975667181221,0.392866605452774,0.300508023739286,0.407489428430208,0.398090933744695,0.386714793528571,0.396575510113129,0.430785655269135,0.30286355565214,0.0258571586170635,0.366273592290379,0.296192902759692,0.365142715073366,0.327091446903032,0.165204676708657,0.123434583478669,0.358723529062699,0.171837706689611,0.352373644413313,0.155803319459189,0.248476962256945,0.285847370620173,0.303776193756035,0.278615868458099,0.25559753194183,0.264258142708839,0.19959746786652,0.373828480202762,0.241461542887637,0.231278145228395,0.231969263623714
"BDI7",0.684202543000086,0.651523581095437,0.780366451235671,0.592497410081192,0.780345559343539,0.483733662549902,1,0.753894602991072,0.647632396338449,0.556645505103988,0.569431743439161,0.476544249167879,0.588346194262971,0.698170860344687,0.535473261236834,0.4579760878108,0.622607479270955,0.417951194802051,0.173636597512893,0.358242968996816,0.326300127408933,0.300322646517253,0.278624461935362,0.149918410344293,0.105595824213426,0.299299853924353,0.241009153479517,0.411768436665061,0.166568823692735,0.222265002110615,0.243180307782083,0.242680364850644,0.294493020600764,0.086067030002304,0.130277503895577,0.167497225876333,0.415202408271984,0.198597326661238,0.211321253806866,0.157286172037125
"BDI8",0.669439546213178,0.625414292035402,0.698561180032454,0.6161106204405,0.760598706939592,0.467472175735898,0.753894602991072,1,0.630004532067734,0.569736358070787,0.610478424668358,0.482795176738564,0.622387303065847,0.623439173006656,0.523733514536049,0.42728070715958,0.601684487270272,0.409019043391904,0.118805449696998,0.370559142029601,0.239318081167463,0.339144829451516,0.213533873754305,0.154344762618479,0.0817525820677094,0.368617362144084,0.213130724597463,0.411406321270601,0.117090694854414,0.215369002327944,0.188172599121027,0.259244626979946,0.275234115884208,0.0427703232782234,0.134830064080834,0.252106076524399,0.463559391457774,0.198524975529779,0.184227573267705,0.149333207316999
"BDI9",0.654554056989912,0.534211266522619,0.606245119955861,0.585813998758921,0.634670236718087,0.467514068780949,0.647632396338449,0.630004532067734,1,0.531659491632149,0.488705458484585,0.429471362158613,0.472096266864127,0.474103997853008,0.453656378903745,0.456136038242071,0.532222537465794,0.402784431329728,0.140623694262715,0.32681372792222,0.360077493575883,0.313557886322082,0.237800781012837,0.134528871689551,0.118762163507662,0.344198233421304,0.216568894676316,0.379702126720634,0.143150175832913,0.228795254107526,0.25961068524089,0.267731711531341,0.253664805903315,0.199488734848107,0.129001065252632,0.220921757648372,0.400331968421597,0.216852398837262,0.201299740173206,0.198973129929224
"BDI10",0.640054672538771,0.517009616761393,0.58665867791415,0.589744407401852,0.616240640436934,0.353975667181221,0.556645505103988,0.569736358070787,0.531659491632149,1,0.558526297931448,0.418801679876983,0.455091545170293,0.439689518643772,0.496153189398401,0.403332773409974,0.5945929978648,0.460790565086319,0.210610419437982,0.343054887313952,0.269299457110879,0.332375046647962,0.214631163168811,0.189130500836023,0.0861528724391927,0.328787156497846,0.170262490671429,0.300704439194258,0.168648262350838,0.244797366102828,0.239050407753301,0.252652745231861,0.243572094120094,0.111694454139033,0.119919568069131,0.273162039075222,0.353621110060365,0.227448464379456,0.179468433534991,0.178438268230074
"BDI11",0.569215825670163,0.563146942693702,0.55836740574189,0.571966051124907,0.597439401110085,0.392866605452774,0.569431743439161,0.610478424668358,0.488705458484585,0.558526297931448,1,0.464984825732446,0.570440829600035,0.533639128826329,0.531091226976166,0.456266769735722,0.56209863569322,0.356420856568728,0.119522735885688,0.312374307272988,0.261190528233235,0.311842785331366,0.335471945054505,0.231011605599581,0.0977740155302701,0.293033319715812,0.283625959388134,0.400380752740768,0.237344519946287,0.270374822811327,0.251106363712225,0.271213809277755,0.222730605948075,0.0743922846900921,0.176591028205185,0.264022330996727,0.370652374578604,0.241946609055468,0.188987308549784,0.208228151066303
"BDI12",0.511420434574642,0.535585107164011,0.406963531102002,0.564454428249545,0.45985014143449,0.300508023739286,0.476544249167879,0.482795176738564,0.429471362158613,0.418801679876983,0.464984825732446,1,0.496781330362497,0.373009848574354,0.456671532482397,0.357510967199724,0.523939143350713,0.348702908587027,0.123090090982954,0.227671274517959,0.362176194763308,0.33574711181807,0.187343504466852,0.140561394741065,0.0722185796907087,0.234578821030229,0.202400963037084,0.297811825877537,0.181794983594636,0.115988699736912,0.14866250670064,0.144532837061586,0.201527953042288,0.0492847248552686,0.0773508626444677,0.223153063613086,0.321959967140199,0.198095670485662,0.110329699722696,0.174817189070049
"BDI13",0.551899087266173,0.564660374794548,0.602064654331029,0.607423775032288,0.608758688823116,0.407489428430208,0.588346194262971,0.622387303065847,0.472096266864127,0.455091545170293,0.570440829600035,0.496781330362497,1,0.504783002939548,0.554915424987577,0.418129625614198,0.579214599265974,0.347499235438431,0.0552335092304157,0.305641002540747,0.301394519982268,0.3226347278512,0.216364024086108,0.176770122237919,0.0816516342574507,0.304814042115283,0.27711548030908,0.416513000361258,0.203827675203329,0.222190960562491,0.235967293766052,0.200716854223841,0.271400238191646,0.11825937284863,0.119857744473906,0.21886336421386,0.407831474486562,0.173508497592081,0.151136430589234,0.178860793970474
"BDI14",0.502614885804544,0.555852749766147,0.550253930775912,0.486463423948981,0.621961438136591,0.398090933744695,0.698170860344687,0.623439173006656,0.474103997853008,0.439689518643772,0.533639128826329,0.373009848574354,0.504783002939548,1,0.398308908644035,0.397752418866022,0.480437679517017,0.352172467859362,0.145623473845008,0.301549659833443,0.232719168936513,0.229802410643447,0.18096294207112,0.218783647918738,0.0907860278376413,0.24749655951312,0.114077652181081,0.405791984343848,0.142070659821381,0.116720624281969,0.175511688400874,0.246597721150478,0.218238251453084,0.0488677927721743,0.190963136335686,0.12181754225179,0.385626695267929,0.149945088538809,0.188109108861755,0.162990449108046
"BDI15",0.554286261147329,0.536199823063493,0.559982416838964,0.565214647639396,0.549157829707954,0.386714793528571,0.535473261236834,0.523733514536049,0.453656378903745,0.496153189398401,0.531091226976166,0.456671532482397,0.554915424987577,0.398308908644035,1,0.453685583091781,0.642982375944035,0.36492489949718,0.15916388762343,0.307414078874714,0.309861822421576,0.269585824240783,0.182769482541788,0.190056486868879,0.0772946942721698,0.295601528282125,0.288706521261761,0.369733116047081,0.104785745018519,0.248803020344466,0.140919743775174,0.176055639042152,0.256504233314221,0.180599567078088,0.218691301680121,0.241483331215263,0.362159509712326,0.196399660522599,0.118927998862222,0.240073839763817
"BDI16",0.461203024427811,0.418842231346125,0.460187296877265,0.480505722254824,0.482515489337538,0.396575510113129,0.4579760878108,0.42728070715958,0.456136038242071,0.403332773409974,0.456266769735722,0.357510967199724,0.418129625614198,0.397752418866022,0.453685583091781,1,0.497168304291659,0.329732672380003,0.118645318824387,0.292333114883309,0.261880590096417,0.40205350889602,0.25941386023268,0.182108645094333,0.0214199699968441,0.371032236664697,0.151417684475168,0.380656602832315,0.161959592489998,0.235348368395376,0.268777236031539,0.244048722575596,0.308913988085961,0.197852623832396,0.225181295457601,0.234274634077894,0.339924721084202,0.194008431493461,0.216774422754206,0.199796530721239
"BDI17",0.625027512570253,0.599062048464875,0.599192265357159,0.63118762606134,0.61752404106293,0.430785655269135,0.622607479270955,0.601684487270272,0.532222537465794,0.5945929978648,0.56209863569322,0.523939143350713,0.579214599265974,0.480437679517017,0.642982375944035,0.497168304291659,1,0.423021265411138,0.125200578360015,0.34882612345344,0.286319785248361,0.31853953281344,0.166317880309839,0.162061315419746,0.0637010427573198,0.303336715636647,0.169958029097736,0.351378982091311,0.14126320792714,0.249455837178995,0.212912429315747,0.202599075804323,0.262822961781588,0.138833778758281,0.192638200003341,0.213042946626601,0.396652730921854,0.166081634638912,0.0680820118845942,0.1951031867729
"BDI18",0.46113758789874,0.387488330440216,0.373481375898938,0.43158104054556,0.404754051918982,0.30286355565214,0.417951194802051,0.409019043391904,0.402784431329728,0.460790565086319,0.356420856568728,0.348702908587027,0.347499235438431,0.352172467859362,0.36492489949718,0.329732672380003,0.423021265411138,1,0.38917782654261,0.384401290203526,0.322418516513362,0.299075386300006,0.261361981602568,0.197140293430841,0.117757752935559,0.229876832612615,0.130774794781841,0.207973201196538,0.145409777927275,0.158665346266252,0.159055115871178,0.103351721707768,0.151291065208809,0.084015304365575,0.0931743604048442,0.173585008198719,0.292168354177139,0.178680091022678,0.175987846140206,0.200982116534008
